Well,main_product_name,main_product_smiles,side_product1_name,side_product1_smiles,side_product2_name,side_product2_smiles
C4,tert-butyl (1-(4-(trifluoromethyl)phenyl)pentan-2-yl)carbamate,CCCC(NC(OC(C)(C)C)=O)CC1=CC=C(C(F)(F)F)C=C1,,,,
D4,"tert-butyl (1-(2,4-dichlorophenyl)pentan-2-yl)carbamate",ClC(C=C1Cl)=CC=C1CC(NC(OC(C)(C)C)=O)CCC,,,,
E4,tert-butyl (1-cyclohexylbutyl)carbamate,CCCC(NC(OC(C)(C)C)=O)C1CCCCC1,,,,
F4,tert-butyl (1-cyclopentylbutyl)carbamate,CCCC(NC(OC(C)(C)C)=O)C1CCCC1,,,,
G4,"tert-butyl (1-(2,6-dimethylphenoxy)-2-methylhexan-3-yl)carbamate",CC(COC1=C(C)C=CC=C1C)C(NC(OC(C)(C)C)=O)CCC,,,,
H4,tert-butyl 3-((tert-butoxycarbonyl)amino)hexanoate,O=C(OC(C)(C)C)CC(NC(OC(C)(C)C)=O)CCC,,,,
A5,tert-butyl (1-phenylpropan-2-yl)carbamate,CC(NC(OC(C)(C)C)=O)CC1=CC=CC=C1,,,,
B5,tert-butyl (1-(p-tolyl)propan-2-yl)carbamate,CC(C=C1)=CC=C1CC(NC(OC(C)(C)C)=O)C,,,,
C5,tert-butyl (1-(4-(trifluoromethyl)phenyl)propan-2-yl)carbamate,CC(NC(OC(C)(C)C)=O)CC1=CC=C(C(F)(F)F)C=C1,,,,
D5,"tert-butyl (1-(2,4-dichlorophenyl)propan-2-yl)carbamate",ClC(C=C1Cl)=CC=C1CC(NC(OC(C)(C)C)=O)C,,,,
E5,tert-butyl (1-cyclohexylethyl)carbamate,CC(NC(OC(C)(C)C)=O)C1CCCCC1,,,,
F5,tert-butyl (1-cyclopentylethyl)carbamate,CC(NC(OC(C)(C)C)=O)C1CCCC1,,,,
G5,"tert-butyl (4-(2,6-dimethylphenoxy)-3-methylbutan-2-yl)carbamate",CC(COC1=C(C)C=CC=C1C)C(NC(OC(C)(C)C)=O)C,,,,
H5,tert-butyl 3-((tert-butoxycarbonyl)amino)butanoate,O=C(OC(C)(C)C)CC(NC(OC(C)(C)C)=O)C,,,,
A6,tert-butyl (4-(methylthio)-1-phenylbutan-2-yl)carbamate,CC(OC(NC(CC1=CC=CC=C1)CCSC)=O)(C)C,,,,
B6,tert-butyl (4-(methylthio)-1-(p-tolyl)butan-2-yl)carbamate,CC(C=C1)=CC=C1CC(NC(OC(C)(C)C)=O)CCSC,,,,
C6,tert-butyl (4-(methylthio)-1-(4-(trifluoromethyl)phenyl)butan-2-yl)carbamate,CC(OC(NC(CC1=CC=C(C(F)(F)F)C=C1)CCSC)=O)(C)C,,,,
D6,"tert-butyl (1-(2,4-dichlorophenyl)-4-(methylthio)butan-2-yl)carbamate",ClC(C=C1Cl)=CC=C1CC(NC(OC(C)(C)C)=O)CCSC,,,,
E6,tert-butyl (1-cyclohexyl-3-(methylthio)propyl)carbamate,CC(OC(NC(C1CCCCC1)CCSC)=O)(C)C,,,,
F6,tert-butyl (1-cyclopentyl-3-(methylthio)propyl)carbamate,CC(OC(NC(C1CCCC1)CCSC)=O)(C)C,,,,
G6,"tert-butyl (1-(2,6-dimethylphenoxy)-2-methyl-5-(methylthio)pentan-3-yl)carbamate",CC(COC1=C(C)C=CC=C1C)C(NC(OC(C)(C)C)=O)CCSC,,,,
H6,tert-butyl 3-((tert-butoxycarbonyl)amino)-5-(methylthio)pentanoate,O=C(OC(C)(C)C)CC(NC(OC(C)(C)C)=O)CCSC,,,,
A7,"tert-butyl (1,3-diphenylpropan-2-yl)carbamate",CC(OC(NC(CC1=CC=CC=C1)CC2=CC=CC=C2)=O)(C)C,,,,
B7,tert-butyl (1-phenyl-3-(p-tolyl)propan-2-yl)carbamate,CC(C=C1)=CC=C1CC(NC(OC(C)(C)C)=O)CC2=CC=CC=C2,,,,
C7,tert-butyl (1-phenyl-3-(4-(trifluoromethyl)phenyl)propan-2-yl)carbamate,CC(OC(NC(CC1=CC=C(C(F)(F)F)C=C1)CC2=CC=CC=C2)=O)(C)C,,,,
D7,"tert-butyl (1-(2,4-dichlorophenyl)-3-phenylpropan-2-yl)carbamate",ClC(C=C1Cl)=CC=C1CC(NC(OC(C)(C)C)=O)CC2=CC=CC=C2,,,,
E7,tert-butyl (1-cyclohexyl-2-phenylethyl)carbamate,CC(OC(NC(C1CCCCC1)CC2=CC=CC=C2)=O)(C)C,,,,
F7,tert-butyl (1-cyclopentyl-2-phenylethyl)carbamate,CC(OC(NC(C1CCCC1)CC2=CC=CC=C2)=O)(C)C,,,,
G7,"tert-butyl (4-(2,6-dimethylphenoxy)-3-methyl-1-phenylbutan-2-yl)carbamate",CC(COC1=C(C)C=CC=C1C)C(NC(OC(C)(C)C)=O)CC2=CC=CC=C2,,,,
H7,tert-butyl 3-((tert-butoxycarbonyl)amino)-4-phenylbutanoate,O=C(OC(C)(C)C)CC(NC(OC(C)(C)C)=O)CC1=CC=CC=C1,,,,
A8,tert-butyl (1-(perfluorophenyl)-3-phenylpropan-2-yl)carbamate,FC(C(F)=C1F)=C(F)C(F)=C1CC(NC(OC(C)(C)C)=O)CC2=CC=CC=C2,,,,
B8,tert-butyl (1-(perfluorophenyl)-3-(p-tolyl)propan-2-yl)carbamate,FC(C(F)=C1F)=C(F)C(F)=C1CC(NC(OC(C)(C)C)=O)CC2=CC=C(C)C=C2,,,,
C8,tert-butyl (1-(perfluorophenyl)-3-(4-(trifluoromethyl)phenyl)propan-2-yl)carbamate,FC(C(F)=C1F)=C(F)C(F)=C1CC(NC(OC(C)(C)C)=O)CC2=CC=C(C(F)(F)F)C=C2,,,,
D8,"tert-butyl (1-(2,4-dichlorophenyl)-3-(perfluorophenyl)propan-2-yl)carbamate",FC(C(F)=C1F)=C(F)C(F)=C1CC(NC(OC(C)(C)C)=O)CC2=CC=C(Cl)C=C2Cl,,,,
E8,tert-butyl (1-cyclohexyl-2-(perfluorophenyl)ethyl)carbamate,FC(C(F)=C1F)=C(F)C(F)=C1CC(NC(OC(C)(C)C)=O)C2CCCCC2,,,,
F8,tert-butyl (1-cyclopentyl-2-(perfluorophenyl)ethyl)carbamate,FC(C(F)=C1F)=C(F)C(F)=C1CC(NC(OC(C)(C)C)=O)C2CCCC2,,,,
G8,"tert-butyl (4-(2,6-dimethylphenoxy)-3-methyl-1-(perfluorophenyl)butan-2-yl)carbamate",FC(C(F)=C1F)=C(F)C(F)=C1CC(NC(OC(C)(C)C)=O)C(C)COC2=C(C)C=CC=C2C,,,,
H8,tert-butyl 3-((tert-butoxycarbonyl)amino)-4-(perfluorophenyl)butanoate,FC(C(F)=C1F)=C(F)C(F)=C1CC(NC(OC(C)(C)C)=O)CC(OC(C)(C)C)=O,,,,
A9,"1,2-dimethoxy-4-phenethylbenzene",COC1=C(OC)C=CC(CCC2=CC=CC=C2)=C1,,,,
B9,"1,2-dimethoxy-4-(4-methylphenethyl)benzene",CC(C=C1)=CC=C1CCC2=CC(OC)=C(OC)C=C2,,,,
C9,"1,2-dimethoxy-4-(4-(trifluoromethyl)phenethyl)benzene",COC1=C(OC)C=CC(CCC2=CC=C(C(F)(F)F)C=C2)=C1,,,,
D9,"2,4-dichloro-1-(3,4-dimethoxyphenethyl)benzene",ClC(C=C1Cl)=CC=C1CCC2=CC(OC)=C(OC)C=C2,,,,
E9,"4-(cyclohexylmethyl)-1,2-dimethoxybenzene",COC1=C(OC)C=CC(CC2CCCCC2)=C1,,,,
F9,"4-(cyclopentylmethyl)-1,2-dimethoxybenzene",COC1=C(OC)C=CC(CC2CCCC2)=C1,,,,
G9,"2-(3-(3,4-dimethoxyphenyl)-2-methylpropoxy)-1,3-dimethylbenzene",CC(COC1=C(C)C=CC=C1C)CC2=CC(OC)=C(OC)C=C2,,,,
H9,"tert-butyl 3-(3,4-dimethoxyphenyl)propanoate",O=C(CCC1=CC(OC)=C(OC)C=C1)OC(C)(C)C,,,,
A10,(4-chlorophenyl)(5-methoxy-2-methyl-3-phenethyl-1H-indol-1-yl)methanone,O=C(C1=CC=C(Cl)C=C1)N2C(C)=C(CCC3=CC=CC=C3)C4=CC(OC)=CC=C42,,,,
B10,(4-chlorophenyl)(5-methoxy-2-methyl-3-(4-methylphenethyl)-1H-indol-1-yl)methanone,O=C(C1=CC=C(Cl)C=C1)N2C(C)=C(CCC3=CC=C(C)C=C3)C4=CC(OC)=CC=C42,,,,
C10,(4-chlorophenyl)(5-methoxy-2-methyl-3-(4-(trifluoromethyl)phenethyl)-1H-indol-1-yl)methanone,O=C(C1=CC=C(Cl)C=C1)N2C(C)=C(CCC3=CC=C(C(F)(F)F)C=C3)C4=CC(OC)=CC=C42,,,,
D10,"(4-chlorophenyl)(3-(2,4-dichlorophenethyl)-5-methoxy-2-methyl-1H-indol-1-yl)methanone",O=C(C1=CC=C(Cl)C=C1)N2C(C)=C(CCC3=C(Cl)C=C(Cl)C=C3)C4=CC(OC)=CC=C42,,,,
E10,(4-chlorophenyl)(3-(cyclohexylmethyl)-5-methoxy-2-methyl-1H-indol-1-yl)methanone,O=C(C1=CC=C(Cl)C=C1)N2C(C)=C(CC3CCCCC3)C4=CC(OC)=CC=C42,,,,
F10,(4-chlorophenyl)(3-(cyclopentylmethyl)-5-methoxy-2-methyl-1H-indol-1-yl)methanone,O=C(C1=CC=C(Cl)C=C1)N2C(C)=C(CC3CCCC3)C4=CC(OC)=CC=C42,,,,
G10,"(4-chlorophenyl)(3-(3-(2,6-dimethylphenoxy)-2-methylpropyl)-5-methoxy-2-methyl-1H-indol-1-yl)methanone",O=C(C1=CC=C(Cl)C=C1)N2C(C)=C(CC(C)COC3=C(C)C=CC=C3C)C4=CC(OC)=CC=C42,,,,
H10,tert-butyl 3-(1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl)propanoate,O=C(C1=CC=C(Cl)C=C1)N2C(C)=C(CCC(OC(C)(C)C)=O)C3=CC(OC)=CC=C32,,,,
A11,"2,6-dichloro-N-(2-phenethylphenyl)aniline",ClC1=C(NC2=CC=CC=C2CCC3=CC=CC=C3)C(Cl)=CC=C1,,,,
B11,"2,6-dichloro-N-(2-(4-methylphenethyl)phenyl)aniline",ClC1=C(NC2=CC=CC=C2CCC3=CC=C(C)C=C3)C(Cl)=CC=C1,,,,
C11,"2,6-dichloro-N-(2-(4-(trifluoromethyl)phenethyl)phenyl)aniline",ClC1=C(NC2=CC=CC=C2CCC3=CC=C(C(F)(F)F)C=C3)C(Cl)=CC=C1,,,,
D11,"2,6-dichloro-N-(2-(2,4-dichlorophenethyl)phenyl)aniline",ClC1=C(NC2=CC=CC=C2CCC3=CC=C(Cl)C=C3Cl)C(Cl)=CC=C1,,,,
E11,"2,6-dichloro-N-(2-(cyclohexylmethyl)phenyl)aniline",ClC1=C(NC2=CC=CC=C2CC3CCCCC3)C(Cl)=CC=C1,,,,
F11,"2,6-dichloro-N-(2-(cyclopentylmethyl)phenyl)aniline",ClC1=C(NC2=CC=CC=C2CC3CCCC3)C(Cl)=CC=C1,,,,
G11,"2,6-dichloro-N-(2-(3-(2,6-dimethylphenoxy)-2-methylpropyl)phenyl)aniline",ClC1=C(NC2=CC=CC=C2CC(C)COC3=C(C)C=CC=C3C)C(Cl)=CC=C1,,,,
H11,"tert-butyl 3-(2-((2,6-dichlorophenyl)amino)phenyl)propanoate",ClC1=C(NC2=CC=CC=C2CCC(OC(C)(C)C)=O)C(Cl)=CC=C1,,,,
A12,1-isobutyl-4-(1-phenylpropan-2-yl)benzene,CC(CC1=CC=CC=C1)C2=CC=C(CC(C)C)C=C2,,,,
B12,1-isobutyl-4-(1-(p-tolyl)propan-2-yl)benzene,CC(C=C1)=CC=C1CC(C)C2=CC=C(CC(C)C)C=C2,,,,
C12,1-isobutyl-4-(1-(4-(trifluoromethyl)phenyl)propan-2-yl)benzene,CC(CC1=CC=C(C(F)(F)F)C=C1)C2=CC=C(CC(C)C)C=C2,,,,
D12,"2,4-dichloro-1-(2-(4-isobutylphenyl)propyl)benzene",ClC(C=C1)=CC(Cl)=C1CC(C)C2=CC=C(CC(C)C)C=C2,,,,
E12,1-(1-cyclohexylethyl)-4-isobutylbenzene,CC(C1CCCCC1)C2=CC=C(CC(C)C)C=C2,,,,
F12,1-(1-cyclopentylethyl)-4-isobutylbenzene,CC(C1CCCC1)C2=CC=C(CC(C)C)C=C2,,,,
G12,"2-(3-(4-isobutylphenyl)-2-methylbutoxy)-1,3-dimethylbenzene",CC(COC1=C(C)C=CC=C1C)C(C)C2=CC=C(CC(C)C)C=C2,,,,
H12,tert-butyl 3-(4-isobutylphenyl)butanoate,O=C(CC(C)C1=CC=C(CC(C)C)C=C1)OC(C)(C)C,,,,
