Sample Name,Data File,Acquired,Location,Batch,Library,Barcode,Job Code,Sample ID,Project,User,Sample State,Sample Type,Description,Notebook,Raw File Name,Instrument,Processed,Container ID,Position,Submitter,Start Date,General Comments,Processing Comments,Overrides Comments,Flag Comments,Set,Subset,Group,Column,Row,Column Num,Row Num,Spare1,Spare2,Spare3,Spare4,Spare5,Product,Product/Standard,TWC_caffeine Rt(min),TWC_caffeine AreaAbs,TWC_caffeine BPM(+),TWC_Substance01 Rt(min),TWC_Substance01 AreaAbs,TWC_Substance01 BPM(+),TWC_o-toluic acid Rt(min),TWC_o-toluic acid AreaAbs,TWC_o-toluic acid BPM(+),TWC_Substance02 Rt(min),TWC_Substance02 AreaAbs,TWC_Substance02 BPM(+),TWC_Substance03 Rt(min),TWC_Substance03 AreaAbs,TWC_Substance03 BPM(+),TWC_Substance04 Rt(min),TWC_Substance04 AreaAbs,TWC_Substance04 BPM(+),TWC_Substance05 Rt(min),TWC_Substance05 AreaAbs,TWC_Substance05 BPM(+),TWC_Substance06 Rt(min),TWC_Substance06 AreaAbs,TWC_Substance06 BPM(+),TWC_Substance07 Rt(min),TWC_Substance07 AreaAbs,TWC_Substance07 BPM(+),UV280_caffeine Rt(min),UV280_caffeine AreaAbs,UV280_caffeine BPM(+),UV280_o-toluic acid Rt(min),UV280_o-toluic acid AreaAbs,UV280_o-toluic acid BPM(+),UV280_Substance03 Rt(min),UV280_Substance03 AreaAbs,UV280_Substance03 BPM(+),UV280_Substance06 Rt(min),UV280_Substance06 AreaAbs,UV280_Substance06 BPM(+),UV280_Substance07 Rt(min),UV280_Substance07 AreaAbs,UV280_Substance07 BPM(+),UV210_Substance05 Rt(min),UV210_Substance05 AreaAbs,UV210_Substance05 BPM(+),UV210_Substance06 Rt(min),UV210_Substance06 AreaAbs,UV210_Substance06 BPM(+),UV210_Substance07 Rt(min),UV210_Substance07 AreaAbs,UV210_Substance07 BPM(+),UV226_caffeine Rt(min),UV226_caffeine AreaAbs,UV226_caffeine BPM(+),UV226_Substance01 Rt(min),UV226_Substance01 AreaAbs,UV226_Substance01 BPM(+),UV226_o-toluic acid Rt(min),UV226_o-toluic acid AreaAbs,UV226_o-toluic acid BPM(+),UV226_Substance02 Rt(min),UV226_Substance02 AreaAbs,UV226_Substance02 BPM(+),UV226_Substance03 Rt(min),UV226_Substance03 AreaAbs,UV226_Substance03 BPM(+),UV226_Substance05 Rt(min),UV226_Substance05 AreaAbs,UV226_Substance05 BPM(+),UV226_Substance06 Rt(min),UV226_Substance06 AreaAbs,UV226_Substance06 BPM(+),UV226_Substance07 Rt(min),UV226_Substance07 AreaAbs,UV226_Substance07 BPM(+),BPI POSITIVE_caffeine Rt(min),BPI POSITIVE_caffeine AreaAbs,BPI POSITIVE_caffeine BPM(+),BPI POSITIVE_o-toluic acid Rt(min),BPI POSITIVE_o-toluic acid AreaAbs,BPI POSITIVE_o-toluic acid BPM(+),BPI POSITIVE_Substance03 Rt(min),BPI POSITIVE_Substance03 AreaAbs,BPI POSITIVE_Substance03 BPM(+),BPI POSITIVE_Substance05 Rt(min),BPI POSITIVE_Substance05 AreaAbs,BPI POSITIVE_Substance05 BPM(+),BPI POSITIVE_Substance06 Rt(min),BPI POSITIVE_Substance06 AreaAbs,BPI POSITIVE_Substance06 BPM(+),BPI POSITIVE_Substance07 Rt(min),BPI POSITIVE_Substance07 AreaAbs,BPI POSITIVE_Substance07 BPM(+),TWC_ester product Rt(min),TWC_ester product AreaAbs,TWC_ester product BPM(+),TWC_Substance08 Rt(min),TWC_Substance08 AreaAbs,TWC_Substance08 BPM(+),UV280_Substance02 Rt(min),UV280_Substance02 AreaAbs,UV280_Substance02 BPM(+),UV210_Substance04 Rt(min),UV210_Substance04 AreaAbs,UV210_Substance04 BPM(+),UV210_Substance08 Rt(min),UV210_Substance08 AreaAbs,UV210_Substance08 BPM(+),UV226_ester product Rt(min),UV226_ester product AreaAbs,UV226_ester product BPM(+),BPI POSITIVE_Substance01 Rt(min),BPI POSITIVE_Substance01 AreaAbs,BPI POSITIVE_Substance01 BPM(+),BPI POSITIVE_Substance02 Rt(min),BPI POSITIVE_Substance02 AreaAbs,BPI POSITIVE_Substance02 BPM(+),BPI POSITIVE_Substance04 Rt(min),BPI POSITIVE_Substance04 AreaAbs,BPI POSITIVE_Substance04 BPM(+),BPI POSITIVE_Substance08 Rt(min),BPI POSITIVE_Substance08 AreaAbs,BPI POSITIVE_Substance08 BPM(+),UV226_Substance04 Rt(min),UV226_Substance04 AreaAbs,UV226_Substance04 BPM(+),UV210_Substance03 Rt(min),UV210_Substance03 AreaAbs,UV210_Substance03 BPM(+),TWC_Substance09 Rt(min),TWC_Substance09 AreaAbs,TWC_Substance09 BPM(+),TWC_Substance10 Rt(min),TWC_Substance10 AreaAbs,TWC_Substance10 BPM(+),TWC_Substance11 Rt(min),TWC_Substance11 AreaAbs,TWC_Substance11 BPM(+),TWC_Substance12 Rt(min),TWC_Substance12 AreaAbs,TWC_Substance12 BPM(+),TWC_Substance13 Rt(min),TWC_Substance13 AreaAbs,TWC_Substance13 BPM(+),UV226_Substance12 Rt(min),UV226_Substance12 AreaAbs,UV226_Substance12 BPM(+),UV280_Substance01 Rt(min),UV280_Substance01 AreaAbs,UV280_Substance01 BPM(+),UV210_Substance01 Rt(min),UV210_Substance01 AreaAbs,UV210_Substance01 BPM(+),UV210_Substance02 Rt(min),UV210_Substance02 AreaAbs,UV210_Substance02 BPM(+),UV210_ester product Rt(min),UV210_ester product AreaAbs,UV210_ester product BPM(+),UV280_Substance05 Rt(min),UV280_Substance05 AreaAbs,UV280_Substance05 BPM(+),BPI POSITIVE_ester product Rt(min),BPI POSITIVE_ester product AreaAbs,BPI POSITIVE_ester product BPM(+),UV210_Substance09 Rt(min),UV210_Substance09 AreaAbs,UV210_Substance09 BPM(+),UV226_Substance08 Rt(min),UV226_Substance08 AreaAbs,UV226_Substance08 BPM(+),UV280_ester product Rt(min),UV280_ester product AreaAbs,UV280_ester product BPM(+),UV280_Substance04 Rt(min),UV280_Substance04 AreaAbs,UV280_Substance04 BPM(+),BPI POSITIVE_Substance09 Rt(min),BPI POSITIVE_Substance09 AreaAbs,BPI POSITIVE_Substance09 BPM(+),UV226_Substance09 Rt(min),UV226_Substance09 AreaAbs,UV226_Substance09 BPM(+),UV280_Substance08 Rt(min),UV280_Substance08 AreaAbs,UV280_Substance08 BPM(+),UV210_Substance10 Rt(min),UV210_Substance10 AreaAbs,UV210_Substance10 BPM(+),UV210_Substance11 Rt(min),UV210_Substance11 AreaAbs,UV210_Substance11 BPM(+),UV226_Substance10 Rt(min),UV226_Substance10 AreaAbs,UV226_Substance10 BPM(+),BPI POSITIVE_Substance11 Rt(min),BPI POSITIVE_Substance11 AreaAbs,BPI POSITIVE_Substance11 BPM(+),BPI POSITIVE_Substance10 Rt(min),BPI POSITIVE_Substance10 AreaAbs,BPI POSITIVE_Substance10 BPM(+),product/caffiene
C2,C2.raw,12/22/19 14:43,2:C,,,,YS01230,,,Yuning,Processed,Sample,C2,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\C2-12-22-19-144310.asa,ACQ-QDA#KAD3699,12/22/19 19:06,3,26,,1/1/0001,,,,,,,,2,C,2,3,,,,,,12175.1568,,0.442,331913.6563,195,0.718,13724.37142,265.1,0.759,122893.9224,265.1,0.833,24583.35225,305.2,0.976,78528.37261,395.3,1.245,36604.36796,671.3,1.43,22152.04041,228.2,1.46,11081.06704,226.1,1.479,15393.96294,226.1,0.439,19861.85767,195,0,0,0,0,0,0,0,0,0,0,0,0,1.421,1144.67125,228.2,1.452,459.08069,226.1,0,0,0,0.442,3438.52868,195,0,0,0,0.759,3803.67622,265.1,0.831,418.00959,305.2,0.976,1206.63793,395.3,1.431,202.85234,228.2,0,0,0,1.481,213.66942,226.1,0.442,844939.4957,195,0,0,0,0.975,1208498.555,395.3,0,0,0,1.462,1062097.934,226.1,0,0,0,1.337,12175.1568,198.1,0,0,0,0,0,0,0,0,0,0,0,0,1.339,260.41913,198.1,0.719,473663.4855,265.1,0.829,703538.069,305.2,1.246,596743.1012,671.3,0,0,0,1.247,765.11716,671.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,516.05188,198.1,0,0,0,1.321,384942.1369,198.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036681699
D2,D2.raw,12/22/19 14:45,2:D,,,,YS01230,,,Yuning,Processed,Sample,D2,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\D2-12-22-19-144556.asa,ACQ-QDA#KAD3699,12/22/19 19:06,3,38,,1/1/0001,,,,,,,,2,D,2,4,,,,,,16476.0001,,0.442,349212.607,195,0.382,67608.12722,181,0.758,121497.5217,271,0.74,33868.71945,271,0.835,35775.44068,327.2,1.044,7855.66274,417.2,1.431,18810.86159,228.2,1.481,17341.07618,226,0,0,0,0.439,20873.7691,195,0.757,3466.81966,271,0,0,0,0,0,0,0,0,0,1.421,660.90914,228.2,1.471,60.66018,226,0,0,0,0.442,4621.23418,195,0.383,1771.43457,181,0.759,3869.58423,271,0,0,0,0.836,410.71985,327.2,0,0,0,0,0,0,0,0,0,0.442,717979.2923,195,0,0,0,0.835,519125.9204,327.2,0,0,0,1.46,76925.90349,226,0,0,0,1.339,16476.00011,198.1,0,0,0,0,0,0,1.037,32.60342,417.2,0,0,0,1.34,324.15147,198.1,0.381,545534.167,181,0.742,690642.5499,271,1.04,69983.30335,417.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047180428
E2,E2.raw,12/22/19 14:48,2:E,,,,YS01230,,,Yuning,Processed,Sample,E2,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\E2-12-22-19-144841.asa,ACQ-QDA#KAD3699,12/22/19 19:06,3,50,,1/1/0001,,,,,,,,2,E,2,5,,,,,,22932.2699,,0.442,352330.5614,195,1.43,20248.72358,282.3,0.76,49630.74506,277,1.643,5151.18494,282.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,21113.95798,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443,3711.20886,195,1.432,90.21769,282.3,0.76,1691.24923,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442,800443.4464,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,22932.2699,198.1,0,0,0,0,0,0,0,0,0,0,0,0,1.341,473.34626,198.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.421,801.02999,282.3,1.634,101.01308,282.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065087371
F2,F2.raw,12/22/19 14:51,2:F,,,,YS01230,,,Yuning,Processed,Sample,F2,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\F2-12-22-19-145126.asa,ACQ-QDA#KAD3699,12/22/19 19:06,3,62,,1/1/0001,,,,,,,,2,F,2,6,,,,,,28601.1758,,0.442,376063.9039,195,0.497,12021.05844,195,0.759,235339.0232,371.3,0.835,89116.1341,327.2,0.878,78017.40131,316.2,1.024,17471.99496,461.2,1.041,14019.14483,417.3,1.32,12147.49644,198.1,1.43,34543.63188,329.2,0.439,22723.8389,195,0.757,4874.79867,371.3,0,0,0,0,0,0,0,0,0,0,0,0,1.331,1060.89454,198.1,1.421,1274.77396,329.2,0.442,3853.78768,195,0.498,208.31412,195,0.759,7211.90124,371.3,0.835,909.4043,327.2,0.878,1637.65835,316.2,0,0,0,0,0,0,1.431,128.79768,329.2,0.442,922268.4285,195,0,0,0,0.877,101030.7801,316.2,1.04,233240.5902,417.3,1.321,771139.383,198.1,0,0,0,1.338,28601.17582,198.1,1.48,28571.12842,211.1,0,0,0,1.016,341.81918,461.2,1.471,94.64994,211.1,1.34,577.97421,198.1,0,0,0,0.833,921458.6562,327.2,1.023,157933.2185,461.2,1.481,97415.4243,211.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.483,113.26078,211.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076054031
G2,G2.raw,12/22/19 14:54,2:G,,,,YS01230,,,Yuning,Processed,Sample,G2,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\G2-12-22-19-145412.asa,ACQ-QDA#KAD3699,12/22/19 19:07,3,74,,1/1/0001,,,,,,,,2,G,2,7,,,,,,23105.3522,,0.442,366941.0553,195,0.835,74522.4201,327.2,0.759,129372.7606,276.9,0.998,95699.99351,269.2,1.024,17292.07531,269.2,1.432,29729.27112,359.3,1.481,45900.69863,211.1,0,0,0,0,0,0,0.439,22000.42526,195,0,0,0,0,0,0,0,0,0,0,0,0,1.471,190.02936,211.1,0,0,0,0,0,0,0.443,3806.1592,195,0.835,680.57225,327.2,0.759,4073.27407,276.9,0.998,1598.5486,269.2,0,0,0,1.482,200.3881,211.1,0,0,0,0,0,0,0.442,890936.3597,195,0,0,0,0,0,0,1.481,119490.9161,211.1,0,0,0,0,0,0,1.339,23105.35218,269.2,0,0,0,0.996,3092.34793,269.2,1.421,1047.66131,359.3,0,0,0,1.34,461.5775,269.2,0.833,867280.5594,327.2,0.998,2687960.984,269.2,1.44,132501.4098,359.3,0,0,0,1.433,125.72794,359.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.331,792.6544,269.2,0,0,0,1.321,381254.4097,269.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062967476
H2,H2.raw,12/22/19 14:56,2:H,,,,YS01230,,,Yuning,Processed,Sample,H2,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\H2-12-22-19-145658.asa,ACQ-QDA#KAD3699,12/22/19 19:06,3,86,,1/1/0001,,,,,,,,2,H,2,8,,,,,,42868.6577,,0.443,260915.203,195,0.835,83106.24824,327.2,0.759,192955.589,367.2,0.894,11998.47298,461.2,1.025,11996.271,461.2,1.042,11184.02854,417.3,1.431,35383.62026,228.2,1.481,24010.42914,211.1,0,0,0,0.44,15597.25574,195,0.757,3844.29089,367.2,0,0,0,0,0,0,0,0,0,1.421,1408.90667,228.2,1.471,90.85843,211.1,0,0,0,0.443,2673.5161,195,0.835,790.3953,327.2,0.76,5883.07011,367.2,0,0,0,0,0,0,1.432,183.23604,228.2,1.483,84.11892,211.1,0,0,0,0.444,722806.2882,195,0,0,0,1.025,150398.1387,461.2,0,0,0,1.483,73412.73664,211.1,0,0,0,1.34,42868.65771,198.1,0,0,0,0,0,0,0,0,0,0,0,0,1.34,915.15936,198.1,0.835,937399.7477,327.2,0.894,214784.3232,461.2,1.04,187075.8692,417.3,0,0,0,0,0,0,1.016,208.1922,461.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164301111
A3,A3.raw,12/22/19 14:59,3:A,,,,YS01230,,,Yuning,Processed,Sample,A3,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\A3-12-22-19-145943.asa,ACQ-QDA#KAD3699,12/22/19 19:06,3,3,,1/1/0001,,,,,,,,3,A,3,1,,,,,,0,,0.443,317608.4795,195,0.693,186970.4922,150.2,0.76,59161.94062,150.2,0.845,107437.0004,353.2,0.964,124272.705,279,1,14180.56888,281.1,1.06,51682.00942,443.2,1.112,13916.65068,290.1,1.321,245234.2928,198.1,0.44,18996.98173,195,0,0,0,0,0,0,0,0,0,1.318,4472.15889,198.1,1.069,1383.30187,443.2,1.111,765.03056,290.1,1.311,6118.48324,198.1,0.443,3256.01532,195,0.694,2677.87549,150.2,0.761,1711.77338,150.2,0.846,3002.77793,353.2,0.965,4822.89368,279,1.06,954.44938,443.2,1.113,282.93844,290.1,1.321,3315.51098,198.1,0.442,748598.3461,195,0,0,0,0.965,852641.4642,279,1.058,87050.01563,443.2,0,0,0,0,0,0,0,0,0,1.43,29592.48141,228.2,0,0,0,0,0,0,1.421,1152.90051,228.2,0,0,0,0.694,426738.0683,150.2,0.844,1335914.089,353.2,0.998,274770.8284,281.1,0,0,0,1.001,344.43075,281.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3,B3.raw,12/22/19 15:02,3:B,,,,YS01230,,,Yuning,Processed,Sample,B3,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\B3-12-22-19-150228.asa,ACQ-QDA#KAD3699,12/22/19 19:06,3,15,,1/1/0001,,,,,,,,3,B,3,2,,,,,,18922.9491,,0.443,336192.0152,195,0.296,25169.41718,150.3,0.759,232881.8318,150.3,0.527,26041.91125,262,0.671,12769.84477,240.1,0.692,117040.0496,150.3,0.834,12779.57168,352.2,1.112,12350.79573,290.1,1.431,13686.10216,514.1,0.44,20264.62708,195,0.757,4748.92219,150.3,0,0,0,0,0,0,0,0,0,0,0,0,1.102,484.07697,290.1,1.421,600.17645,514.1,0.443,4345.86338,195,0,0,0,0.76,7147.94679,150.3,0,0,0,0,0,0,0.835,281.34018,352.2,1.113,341.38643,290.1,0,0,0,0.442,865395.3001,195,0,0,0,0.671,439123.9191,240.1,0.833,184488.4213,352.2,0,0,0,0,0,0,1.34,18922.94909,459.2,1.482,16967.83312,211.1,0,0,0,0,0,0,1.473,61.83049,211.1,1.341,416.43206,459.2,0,0,0,0.519,150169.0628,262,0.694,266494.5295,150.3,1.481,45328.02602,211.1,0.693,2419.0927,150.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.331,580.58743,459.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056286135
C3,C3.raw,12/22/19 15:05,3:C,,,,YS01230,,,Yuning,Processed,Sample,C3,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\C3-12-22-19-150514.asa,ACQ-QDA#KAD3699,12/22/19 19:06,3,27,,1/1/0001,,,,,,,,3,C,3,3,,,,,,34187.4353,,0.443,342067.759,195,0.693,96191.10704,150.3,0.76,235536.508,267.1,0.824,116056.7209,305.2,1.051,13425.06513,486.3,1.111,20413.40749,445.3,1.319,37096.09839,198.1,1.432,22700.22909,344.3,1.481,14323.68522,211.1,0.44,20528.06654,195,0.757,4963.62342,267.1,0,0,0,0,0,0,0,0,0,1.331,1042.37565,198.1,1.423,694.38635,344.3,0,0,0,0.443,3512.46534,195,0.693,1526.63406,150.3,0.76,7582.99723,267.1,0.824,3068.00123,305.2,1.059,137.57095,486.3,0,0,0,0,0,0,0,0,0,0.442,854052.2538,195,0,0,0,1.046,146056.2401,486.3,0,0,0,0,0,0,0,0,0,1.34,34187.43532,198.1,0,0,0,0,0,0,1.102,632.36353,445.3,0,0,0,1.341,1066.6624,198.1,0.692,263715.2792,150.3,0.825,2587919.103,305.2,0,0,0,0,0,0,1.113,450.9075,445.3,1.067,560.75097,486.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09994346
D3,D3.raw,12/22/19 15:08,3:D,,,,YS01230,,,Yuning,Processed,Sample,D3,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\D3-12-22-19-150800.asa,ACQ-QDA#KAD3699,12/22/19 19:06,3,39,,1/1/0001,,,,,,,,3,D,3,4,,,,,,37528.0323,,0.441,394247.6413,195,0.391,158944.6817,181,0.759,139971.4503,271.1,0.693,220047.0791,150.3,0.743,53809.74292,271.1,0.837,17581.64772,327.2,1.112,46949.77488,290.1,1.321,198004.4173,361.2,1.432,28454.23629,228.3,0.44,22976.60973,195,0,0,0,0.757,3836.43779,271.1,1.318,3591.85733,361.2,0,0,0,1.102,1539.99713,290.1,1.311,5801.79923,361.2,1.423,1056.20007,228.3,0.443,6452.80971,195,0.392,3517.02829,181,0.76,4530.39678,271.1,0.693,3219.5818,150.3,0,0,0,1.112,1137.50504,290.1,1.321,3322.80722,361.2,0,0,0,0.442,614599.9175,195,0,0,0,0.744,624720.5602,271.1,1.112,70973.22072,290.1,0,0,0,0,0,0,1.34,37528.03229,518.2,1.482,37183.26338,211.1,0,0,0,0,0,0,1.473,107.80335,211.1,0,0,0,0.387,805667.7401,181,0.692,379186.4747,150.3,0.835,245528.628,327.2,1.481,149379.7183,211.1,0.838,185.23873,327.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387,6297.28198,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.483,152.37151,211.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095188984
E3,E3.raw,12/22/19 15:10,3:E,,,,YS01230,,,Yuning,Processed,Sample,E3,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\E3-12-22-19-151046.asa,ACQ-QDA#KAD3699,12/22/19 19:06,3,51,,1/1/0001,,,,,,,,3,E,3,5,,,,,,53645.909,,0.441,213177.4087,195,0.695,21075.19495,271.2,0.759,38553.85906,271.2,0.997,7887.43227,529.3,1.068,6514.72043,503.3,1.32,139716.9201,198.1,1.43,37300.42523,282.3,1.482,6972.39537,211.1,1.644,13605.83258,282.3,0.44,12729.07523,195,0,0,0,0,0,0,0,0,0,0,0,0,1.421,1436.3902,282.3,0,0,0,1.634,230.10509,282.3,0.443,2147.71543,195,0.706,556.16236,271.2,0.76,1160.92611,271.2,0.998,375.41996,529.3,0,0,0,1.431,138.23575,282.3,0,0,0,1.646,98.50667,282.3,0.442,630136.979,195,0,0,0,1.06,90628.05289,503.3,0,0,0,0,0,0,0,0,0,1.339,53645.90903,573.4,0,0,0,0,0,0,1.311,5015.2614,198.1,0,0,0,0,0,0,0.706,2352364.664,271.2,0.998,737182.6588,529.3,0,0,0,0,0,0,1.321,3015.05166,198.1,1.066,693.39271,503.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251649128
F3,F3.raw,12/22/19 15:13,3:F,,,,YS01230,,,Yuning,Processed,Sample,F3,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\F3-12-22-19-151332.asa,ACQ-QDA#KAD3699,12/22/19 19:06,3,63,,1/1/0001,,,,,,,,3,F,3,6,,,,,,62352.2323,,0.443,330576.687,195,0.496,22959.51502,195,0.759,216216.1189,150.3,0.692,220114.0445,150.3,0.879,29137.85773,316.1,0.964,34983.58418,315.2,1.06,21251.85274,240.1,1.195,85151.06954,447.2,1.319,31344.24636,428.2,0.44,19977.25273,195,0.757,4301.36837,150.3,0,0,0,0,0,0,0,0,0,1.066,799.47479,240.1,1.186,3444.73363,447.2,1.331,2964.20514,428.2,0.443,3334.30185,195,0.497,382.81475,195,0.76,6367.51269,150.3,0.693,3151.79675,150.3,0.88,306.498,316.1,1.06,285.35944,240.1,1.196,1633.92067,447.2,0,0,0,0.444,741007.9621,195,0,0,0,0.875,52053.91482,316.1,0,0,0,1.196,215123.9193,447.2,0,0,0,1.34,62352.23231,282.3,1.43,18674.6939,228.2,0,0,0,0,0,0,1.422,793.90685,228.2,1.341,1710.57415,282.3,0.496,32026.89286,195,0.694,491282.6759,150.3,0.962,67442.06177,315.2,0,0,0,0.964,548.60464,315.2,0,0,0,1.482,13616.80464,211.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.481,51710.57223,211.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188616544
G3,G3.raw,12/22/19 15:16,3:G,,,,YS01230,,,Yuning,Processed,Sample,G3,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\G3-12-22-19-151618.asa,ACQ-QDA#KAD3699,12/22/19 19:06,3,75,,1/1/0001,,,,,,,,3,G,3,7,,,,,,47640.2325,,0.444,353263.3881,195,0.694,280101.5074,150.3,0.76,75918.41246,265.1,0.838,29571.0656,327.2,0.881,16393.80205,359.3,1.002,242334.128,269.2,1.06,17496.27709,269.2,1.112,30662.51041,269.2,1.322,270442.1263,269.2,0.441,21213.64261,195,0,0,0,0,0,0,0,0,0,1.319,4825.8457,269.2,1.067,827.25698,269.2,1.104,989.23546,269.2,1.312,7828.32143,269.2,0.443,3646.94961,195,0.695,4074.42822,150.3,0.762,2429.24824,265.1,0.838,226.86171,327.2,0,0,0,1.061,779.65828,269.2,1.113,1098.66205,269.2,1.322,4766.33117,269.2,0.444,816626.8705,195,0,0,0,0.877,159310.0019,359.3,0,0,0,1.1,98513.38634,269.2,0,0,0,1.341,47640.23249,269.2,1.432,36540.17931,269.2,0,0,0,0,0,0,1.423,1318.78176,269.2,0,0,0,0.694,541928.6789,150.3,0.837,487662.4871,327.2,1.004,3626469.425,269.2,0,0,0,1.003,3568.14167,269.2,0,0,0,1.483,44267.24424,269.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.474,129.91669,269.2,1.433,124.35924,269.2,0,0,0,0.999,7948.40809,269.2,0,0,0,1.484,169.15804,269.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134857543
