Sample Name,product_smiles,product_yield,product_name,side_product1_smiles,side_product1_yield,side_product1_name,side_product2_smiles,side_product2_yield,side_product2_name
F9,CNC,2,product01,CNC,16,sproduct01,CNCC,14,sproduct02
F10,CNC,23,product01,CNC,32,sproduct01,CNCC,3,sproduct02
F11,CNC,10,product01,CNC,17,sproduct01,CNCC,12,sproduct02
F12,CNC,9,product01,CNC,4,sproduct01,CNCC,18,sproduct02
G1,CNC,12,product01,CNC,29,sproduct01,CNCC,15,sproduct02
G2,CNC,0,product01,CNC,31,sproduct01,CNCC,30,sproduct02
G3,CNC,14,product01,CNC,18,sproduct01,CNCC,21,sproduct02
G4,CNC,13,product01,CNC,8,sproduct01,CNCC,9,sproduct02
G5,CNC,30,product01,CNC,31,sproduct01,CNCC,8,sproduct02
G6,CNC,16,product01,CNC,7,sproduct01,CNCC,17,sproduct02
G7,CNC,14,product01,CNC,19,sproduct01,CNCC,17,sproduct02
G8,CNC,7,product01,CNC,13,sproduct01,CNCC,30,sproduct02
G9,CNC,5,product01,CNC,31,sproduct01,CNCC,18,sproduct02
G10,CNC,8,product01,CNC,26,sproduct01,CNCC,2,sproduct02
G11,CNC,30,product01,CNC,14,sproduct01,CNCC,17,sproduct02
G12,CNC,31,product01,CNC,12,sproduct01,CNCC,0,sproduct02
H1,CNC,4,product01,CNC,6,sproduct01,CNCC,27,sproduct02
H2,CNC,1,product01,CNC,20,sproduct01,CNCC,2,sproduct02
H3,CNC,19,product01,CNC,25,sproduct01,CNCC,19,sproduct02
H4,CNC,8,product01,CNC,12,sproduct01,CNCC,8,sproduct02
H5,CNC,3,product01,CNC,18,sproduct01,CNCC,7,sproduct02
H6,CNC,4,product01,CNC,32,sproduct01,CNCC,20,sproduct02
H7,CNC,23,product01,CNC,14,sproduct01,CNCC,26,sproduct02
H8,CNC,14,product01,CNC,0,sproduct01,CNCC,2,sproduct02
H9,CNC,10,product01,CNC,20,sproduct01,CNCC,16,sproduct02
H10,CNC,26,product01,CNC,3,sproduct01,CNCC,2,sproduct02
H11,CNC,0,product01,CNC,25,sproduct01,CNCC,24,sproduct02
H12,CNC,30,product01,CNC,18,sproduct01,CNCC,20,sproduct02
