atp,chemicalName,chemtype,density,factor,molarMass,molarity,order,smiles
1.5,"2,4,6-triphenyl-1-(4-(trifluoromethyl)benzyl)pyridin-1-ium",Nucleophile,1,TRUE,553.33,0.1,1,FC(C(C=C1)=CC=C1C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)(F)F.F[B-](F)(F)F
1.5,"1-(2,4-dichlorobenzyl)-2,4,6-triphenylpyridin-1-ium",Nucleophile,1,TRUE,554.223,0.1,1,ClC(C=C1)=CC(Cl)=C1C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5.F[B-](F)(F)F
1.5,"1-cyclohexyl-2,4,6-triphenylpyridin-1-ium",Nucleophile,1,TRUE,390.55,0.1,1,C1([N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)CCCCC1
1.5,"1-cyclopentyl-2,4,6-triphenylpyridin-1-ium",Nucleophile,1,TRUE,463.327,0.1,1,F[B-](F)(F)F.C1([N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)CCCC1
1.5,"1-(1-(2,6-dimethylphenoxy)propan-2-yl)-2,4,6-triphenylpyridin-1-ium",Nucleophile,1,TRUE,557.44,0.1,1,CC(COC1=C(C)C=CC=C1C)[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5.F[B-](F)(F)F
1.5,"1-(2-(tert-butoxy)-2-oxoethyl)-2,4,6-triphenylpyridin-1-ium",Nucleophile,1,TRUE,509.352,0.1,1,O=C(OC(C)(C)C)C[N+]1=C(C2=CC=CC=C2)C=C(C3=CC=CC=C3)C=C1C4=CC=CC=C4.F[B-](F)(F)F
1.5,MANGANESE,ReductantOxidant,1,TRUE,54.938,0.3,1,[Mn]
1.5,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,Catalyst1,1,TRUE,308.623,0.02,1,COCCOC.[Ni+2].[Br-].[Br-]
1.5,"4,4_-Bis(trifluoromethyl)-2,2_-bipyridine",Ligand1,1,TRUE,292.182,0.03,1,FC(C1=CC(C2=NC=CC(C(F)(F)F)=C2)=NC=C1)(F)F
1.5,Dioxane:MeCN,Solvent1,1,TRUE,1,0.1,1,CC#N.O1CCOCC1
